,0,1,2,3,4,5,6,7,8,9,10
8000,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8409599145555888,0.5201667274234941,1.0
8001,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8411685190747972,0.5210610074125206,1.0
8002,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8413771235940056,0.5219552874015471,1.0
8003,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8415857281132137,0.5228495673905735,1.0
8004,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8417943326324221,0.5237438473796,1.0
8005,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8416024164747505,0.5233448936451571,1.0
8006,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8414105003170788,0.5229459399107144,1.0
8007,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8412185841594072,0.5225469861762716,1.0
8008,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8410266680017356,0.5221480324418288,1.0
8009,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8408347518440639,0.5217490787073861,1.0
8010,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8406428356863923,0.5213501249729432,1.0
8011,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8404509195287208,0.5209511712385004,1.0
8012,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.840259003371049,0.5205522175040577,1.0
8013,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8400670872133774,0.5201532637696149,1.0
8014,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8398751710557057,0.519754310035172,1.0
8015,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8396832548980341,0.5193553563007293,1.0
8016,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8394913387403624,0.5189564025662865,1.0
8017,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8393995527519108,0.5190238476990108,1.0
8018,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8393077667634591,0.519091292831735,1.0
8019,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8392159807750075,0.5191587379644593,1.0
8020,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8391241947865559,0.5192261830971835,1.0
8021,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8390324087981041,0.5192936282299078,1.0
8022,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8389406228096525,0.519361073362632,1.0
8023,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8388488368212009,0.5194285184953563,1.0
8024,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8387570508327492,0.5194959636280806,1.0
8025,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8386652648442976,0.5195634087608049,1.0
8026,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.838573478855846,0.5196308538935291,1.0
8027,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8384816928673942,0.5196982990262534,1.0
8028,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8383899068789427,0.5197657441589776,1.0
8029,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8382647441674176,0.5199159265526581,1.0
8030,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8381395814558926,0.5200661089463384,1.0
8031,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8380144187443677,0.5202162913400189,1.0
8032,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8378892560328427,0.5203664737336993,1.0
8033,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8377640933213177,0.5205166561273797,1.0
8034,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8376389306097927,0.5206668385210601,1.0
8035,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8375137678982677,0.5208170209147406,1.0
8036,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8373886051867427,0.520967203308421,1.0
8037,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8372634424752178,0.5211173857021014,1.0
8038,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8371382797636928,0.5212675680957818,1.0
8039,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8370131170521679,0.5214177504894623,1.0
8040,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8368879543406428,0.5215679328831426,1.0
8041,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8369797403290944,0.5214154517793549,1.0
8042,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8370715263175462,0.5212629706755671,1.0
8043,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8371633123059978,0.5211104895717793,1.0
8044,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8372550982944493,0.5209580084679916,1.0
8045,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8373468842829012,0.5208055273642038,1.0
8046,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8374386702713528,0.520653046260416,1.0
8047,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8375304562598044,0.5205005651566282,1.0
8048,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8376222422482561,0.5203480840528405,1.0
